multa_id,patente,fecha,hora,velocidad_registrada,velocidad_maxima,ubicacion,radar_id,estado_multa,exceso_velocidad_real,exceso_velocidad
3,WU341A,2022-07-17,09:01,107.0,60,AV LIBERTADOR,R03,PAGADA,47.0,44.0
5,BX55DOG,2021-01-21,00:00,94.0,60,AV SIEMPRE VIVA,,ERROR,34.0,31.0
8,BP717,2023-01-11,08:01,70.0,60,AV SIEMPRE VIVA,R01,PAGADA,10.0,7.0
10,OUTSTDN,1932-01-01,14:01,71.0,40,AV LIBERTADOR,R02,APELADA,31.0,29.0
13,GE1466,2020-08-12,18:01,75.0,40,AV LIBERTADOR,,IMPAGA,35.0,33.0
17,5777770,2020-01-29,09:02,93.0,40,AV SIEMPRE VIVA,R02,APELADA,53.0,51.0
21,BHRP770,1932-01-01,08:01,71.0,60,RUTA 9,R03,PAGADA,11.0,8.0
22,RFH373,2020-10-15,09:02,121.0,80,AV LIBERTADOR,R01,IMPAGA,41.0,37.0
24,XIIUME,2021-06-12,08:01,52.0,40,AV SIEMPRE VIVA,R03,IMPAGA,12.0,10.0
26,HF58HXP,2022-11-20,14:01,62.0,40,RUTA 9,,APELADA,22.0,20.0
31,M431ZW,1932-01-01,14:01,123.0,60,RUTA 9,R03,PAGADA,63.0,60.0
35,GE1466,2020-11-22,08:02,67.0,40,AV LIBERTADOR,R03,ERROR,27.0,25.0
36,J1S1,1932-01-01,18:01,85.0,40,AV LIBERTADOR,,APELADA,45.0,43.0
40,VTIIAHV,2023-04-30,09:03,71.0,60,AV LIBERTADOR,R03,APELADA,11.0,8.0
41,6611172,2022-02-26,08:02,109.0,60,AV LIBERTADOR,R02,PAGADA,49.0,46.0
44,GCP332,2024-01-26,14:02,106.0,40,AV LIBERTADOR,,IMPAGA,66.0,64.0
47,W326AVE,2020-05-28,00:00,70.0,60,RUTA 9,R01,IMPAGA,10.0,7.0
49,810TCH,2022-03-03,09:04,156.0,80,AV LIBERTADOR,R02,ERROR,76.0,72.0
50,GCP332,2023-12-08,08:02,66.0,40,AV SIEMPRE VIVA,R02,APELADA,26.0,24.0
51,BB8986,2023-04-18,08:03,90.0,80,RUTA 9,R02,IMPAGA,10.0,6.0
53,HF58HXP,1932-01-01,09:04,50.0,40,AV SIEMPRE VIVA,R02,PAGADA,10.0,8.0
55,9999868,2020-02-09,00:00,57.0,40,AV SIEMPRE VIVA,R01,ERROR,17.0,15.0
56,VTIIAHV,1932-01-01,08:03,54.0,40,AV LIBERTADOR,R01,ERROR,14.0,12.0
