multa_id,patente,fecha,hora,velocidad_registrada,velocidad_maxima,ubicacion,radar_id,estado_multa
1,FD 1475,24/09/2021,09:01 AM,,60,Av. Siempre Viva,R01,APELADA
2,0695 DVH,19/05/2020,18:01,,40,Av Siempre Viva,,APELADA
3,WU 341 A,2022/07/17,09:01 AM,107.0,60,AV LIBERTADOR,R03,PAGADA
4,GN64 OTP,invalid_date,invalid_hour,,60,Ruta 9,,APELADA
5,BX 55 DOG,2021/01/21,invalid_hour,94.0,60,Av. Siempre Viva,,ERROR
6,,27/07/2023,invalid_hour,,80,Av. Siempre Viva,R02,PAGADA
7,CD 056 01,2023/06/16,18:01,,80,Av. Libertador,R01,IMPAGA
8,BP717,2023/01/11,08:01,70.0,60,Av. Siempre Viva,R01,PAGADA
9,41 RS TZ,invalid_date,09:01 AM,,40,Av. Siempre Viva,R02,APELADA
10,OUTSTDN,invalid_date,14:01,71.0,40,Av. Libertador,R02,APELADA
11,M PX 9357,26/02/2021,09:01 AM,,40,ruta 9,R01,APELADA
12,TL03 GOG,2022-07-21,09:01 AM,38.0,40,Av Siempre Viva,R02,PAGADA
13,GE 1466,2020/08/12,18:01,75.0,40,AV LIBERTADOR,,IMPAGA
14,589222,2021-07-20,09:02 AM,,40,Ruta 9,R01,IMPAGA
15,BM -351,invalid_date,invalid_hour,,60,Av. Siempre Viva,R03,PAGADA
16,41 RS TZ,25/04/2020,09:02 AM,,80,Av. Libertador,,PAGADA
17,57 777 70,2020/01/29,09:02 AM,93.0,40,Av. Siempre Viva,R02,APELADA
18,M VU 4688,2020-03-08,08:01,,80,Ruta 9,R03,APELADA
19,VY 90 540,invalid_date,14:01,,60,ruta 9,R01,PAGADA
20,TL03 GOG,2022-07-05,14:01,,80,av libertador,,IMPAGA
21,BHRP 770,invalid_date,08:01,71.0,60,Ruta 9,R03,PAGADA
22,RFH 373,15/10/2020,09:02 AM,121.0,80,AV LIBERTADOR,R01,IMPAGA
23,691 XC 80,2022-09-09,08:01,,80,ruta 9,R03,PAGADA
24,X IIUME,2021/06/12,08:01,52.0,40,Av. Siempre Viva,R03,IMPAGA
25,DK 414 N,25/01/2022,08:02,,40,Av. Libertador,R02,APELADA
26,HF 58 HXP,2022/11/20,14:01,62.0,40,ruta 9,,APELADA
27,BP717,invalid_date,09:02 AM,74.0,80,ruta 9,R02,APELADA
28,M PX 9357,2021/03/21,invalid_hour,73.0,80,AV LIBERTADOR,,ERROR
29,OUTSTDN,invalid_date,08:02,,60,Av. Siempre Viva,R03,APELADA
30,M20 CPR,2021-01-03,09:03 AM,62.0,60,ruta 9,R03,ERROR
31,M43 1ZW,invalid_date,14:01,123.0,60,ruta 9,R03,PAGADA
32,,invalid_date,18:01,,40,Av. Siempre Viva,R01,APELADA
